RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a12656826,Brain organoid: a 3D technology for investigating cellular composition and interactions in human neurological development and disease models in vitro,"Interestingly, air-liquid interface (ALI) technique of culturing cerebral organoids led to improved neuronal survival (over 12 months) and axon outgrowth with various morphologies and active neuronal",a12656826,"Agboola, Oluwafemi Solomo....(Stem Cell Res Ther)",2021.07.31
a13228280,"An Investigation of Levetiracetam in Alzheimerâ€™s Disease (ILiAD): a double-blind, placebo-controlled, randomised crossover proof of concept study",We hypothesise that in AD the neuronal networks are less stable than in MCI and hence a higher dose of levetiracetam should initially be tested in patients with AD.,a13228280,"Sen, Arjune; Akinola, Mar....(Trials)",2021.07.31
a10105305,The Influence of Virus Infection on Microglia and Accelerated Brain Aging,"Microglia dysfunction, initiated by acute or chronic brain infections may also contribute to neurodegeneration with increased neuronal cell death, demyelination and disruption of the neuronal network",a10105305,"Filgueira, Luis; Larionov....(Cells)",2021.07.20
a7881497,Comparing the influence of stimulus size and contrast on the perception of moving gratings and random dot patternsâ€”A registered report protocol,"Instead, the contributions of different motion-sensitive brain areas seem to be highly flexible and the particular features of a stimulus appear to play a role in determining which areas or local neur",a7881497,"Wild, Benedict; Treue, St....(PLoS One)",2021.06.21
a5476989,Mindfulness and Other Simple Neuroscience-Based Proposals to Promote the Learning Performance and Mental Health of Students during the COVID-19 Pandemic,"The processes of memory creation and learning are complex and are based on dynamic interactions between distributed brain areas, as well as innumerable neuronal networks where additive network interac",a5476989,"Tortella, Gonzalo R.; Sea....(Brain Sci)",2021.04.27
a8158828,Combining Graph Neural Networks and Spatio-temporal Disease Models to Predict COVID-19 Cases in Germany,"Contrasting these approaches, [24] propose a recurrent neuronal network to derive latent features for each location, hence they construct a graph whose edge weights are given by a self-attention layer",a8158828,,2021.01.03
a10765383,Embodiment of sleep-related words: evidence from event-related potentials,"Therefore, these meta-analyses imply that language and action activate unique neuronal networks, which nevertheless overlap substantially and thereby are capable of activating each other.",a10765383,"HÃ¼lsemann, Mareike J.; R....(bioRxiv)",2020.12.24
a10988653,Ste20-like kinase is critical for inhibitory synapse maintenance and its deficiency confers a developmental dendritopathy,"Furthermore, novel gene mutations of SLK found in families with intellectual disability point to the importance of SLK's role for proper CNS development and the substantial potential of aberrant neuro",a10988653,"Schoch, Susanne; Quatracc....(bioRxiv)",2020.12.01
a8440718,Curcumin: Could This Compound Be Useful in Pregnancy and Pregnancy-Related Complications?,"Pb neurotoxicity produced alterations in locomotor neuronal network development and curcumin treatment reversed these anomalies, allowing normal locomotor behavior.",a8440718,"Filardi, Tiziana; VarÃ¬, ....(Nutrients)",2020.10.17
a11884842,Acetylcholine is released in the basolateral amygdala in response to predictors of reward and enhances the learning of cue-reward contingency,These findings are consistent with the hypothesis that ACh is a neuromodulator that is released in response to salient stimuli and suggests that ACh signaling may enhance neuronal plasticity in the BL,a11884842,,2020.09.18
a9883563,Obstetric ultrasound: where are we and where are we going?,"The inspiration is the human brain, hence the designation artificial neuronal networks and machine learning, where the computer automatically recognizes patterns, based on entry of enormous quantities",a9883563,"Abramowicz, Jacques S....(Ultrasonography)",2020.08.25
a11149640,Endogenous erythropoietin signaling regulates migration and laminar positioning of upper-layer neurons in the developing neocortex.,Experimental deregulation of EPO signaling using genetic approaches results in aberrant migration as well as permanent neuronal misplacement leading to abnormal network activity and protracted sensory,a11149640,"Constanthin, Paul E; Cont....(Development)",2020.08.06
a9487234,Disentangling the Hypothesis of Host Dysosmia and SARS-CoV-2: The Bait Symptom That Hides Neglected Neurophysiological Routes,The death upon respiratory failure may be also associated with the local inflammation-and thrombi-derived damages to the respiratory reflexes in both the lung neuronal network and brainstem center.,a9487234,"Briguglio, Matteo; Bona, ....(Front Physiol)",2020.06.05
a1113534,"Genetic, Transcriptome, Proteomic, and Epidemiological Evidence for Blood-Brain Barrier Disruption and Polymicrobial Brain Invasion as Determinant Factors in Alzheimer’s Disease","This could essentially be mediated via activation of an inflammatory network , and cytotoxic defense mechanisms including the call - up of cerebral A â¤ that , as a consequence , causes massive neuro",a1113534,,2017.09.28
a2274772,Drosophila CG3303 is an essential endoribonuclease linked to TDP-43-mediated neurodegeneration,"Inside the nervous system , DendoU contribution is not restricted to individual neuronal sub - types but extended to complex neuronal networks , largely dependent on cholinergic neurons .",a2274772,"Laneve, Pietro; Piacentin....(Sci Rep)",2017.01.31
a5891438,Harnessing T-Cell Immunity to Target Brain Tumors,The concept of limited immune responsiveness in the brain was interpreted as being consistent with the overriding need to control inflammatory reactions and their potentially damaging consequences to,a5891438,"Walker, Paul R.; Prins, R....(CNS Cancer)",2008.12.12
a8441106,Abstracts for the 29th Annual Meeting of the Japan Neuroscience Society (Neuroscience2006),"On the other hand, recent our findings suggest the importance of the direct basal ganglia outflow to the brainstem where fundamental neuronal networks for controlling postural muscle tone and locomoti",a8441106,,2006.12.31
a10974428,ISNI 2006 Abstracts,"Our in vitro results provide evidence that astrocytes, major non-neuronal cells that actively participate in neuronal networking, activated with T cells possess a phenotype supportive of neuronal func",a10974428,,2006.09.30
