RandR_ID,"Article_title, link to abstract, related articles pubmed, etc.",Sentence (search term in bold),Graphic user interface,Lead author and journal,Publication date ASC
a12622802,Alkaloids and flavonoids from African phytochemicals as potential inhibitors of SARS-Cov-2 RNA-dependent RNA polymerase: an in silico perspective,Active site targeted molecular docking.,a12622802,"Ogunyemi, Oludare M; Gyeb....(Antivir Chem Chemother)",2020.12.29
a12565264,Expanding the Structural Diversity of DNA Methyltransferase Inhibitors,Molecular docking of the most active compounds helped propose binding modes with the catalytic binding site of DNM1.,a12565264,"JuÃ¡rez-Mercado, K. EurÃ­....(Pharmaceuticals (Basel))",2020.12.27
a11838049,In silico study of the potential interactions of 4â€²-acetamidechalcones with protein targets in SARS-CoV-2,"Therefore, in this work, for the first time acetamide chalcones will be study theoretically by the Molecular Docking to characterize the inhibition power of the chalcones with the enzyme Mpro, methylt",a11838049,"Almeida-Neto, Francisco W....(Biochem Biophys Res Commun)",2020.12.26
a11661976,Molecular Docking Studies on the Anti-viral Effects of Compounds From Kabasura Kudineer on SARS-CoV-2 3CL(pro),"Based on the highest energy value, best compounds from each plant of Kabasura kudineer complex were exposed to accurate molecular docking.",a11661976,"Vincent, Savariar; Arokiy....(Front Mol Biosci)",2020.12.23
a12616527,Artificial Intelligence-Based Application to Explore Inhibitors of Neurodegenerative Diseases,"Molecular docking method and active ingredient screening techniques are used to screen out drug molecules that have inhibitory effects on the target protein from drug database (Abdolmaleki et al., 201",a12616527,"Deng, Leping; Zhong, Weih....(Front Neurorobot)",2020.12.22
a13556860,(âˆ’)-Kusunokinin as a Potential Aldose Reductase Inhibitor: Equivalency Observed via AKR1B1 Dynamics Simulation,"Herein, we used the molecular docking technique to predict an additional target protein of (âˆ’)-kusunokinin.",a13556860,"Tanawattanasuntorn, Tanot....(ACS Omega)",2020.12.21
a13884107,"Discovery of Novel Coumarin Analogs against the Î±-Glucosidase Protein Target of Diabetes Mellitus: Pharmacophore-Based QSAR, Docking, and Molecular Dynamics Simulation Studies",Molecular Docking and ADME/T. Maestro's glide module was used to perform molecular docking with the lysosomal Î±-glucosidase (PDB ID: 5KZX) enzyme receptor binding site.,a13884107,"Maurya, Akhilesh Kumar; M....(ACS Omega)",2020.12.10
a13891183,"In vitro antimicrobial, physicochemical, pharmacokinetics and molecular docking studies of benzoyl uridine esters against SARS-CoV-2 main protease","The observed activities were then rationalized by calculating their physicochemical (DFT method), cytotoxicity (shrimp), molecular docking and ADMET properties.",a13891183,"Matin, Mohammed Mahbubul;....(Journal of biomolecular structure & dynamics)",2020.12.10
a9760677,A Computer-Aided Drug Design Approach to Predict Marine Drug-Like Leads for SARS-CoV-2 Main Protease Inhibition,"In the CADD structure-based method, the 494 MNPs selected by QSAR classification approach were screened by molecular docking against M pro enzyme.",a9760677,"GaudÃªncio, Susana P.; Pe....(Mar Drugs)",2020.12.10
a9880407,Systems and Clinical Pharmacology of COVID-19 Therapeutic Candidates: A Clinical and Translational Medicine Perspective,"For example, the molecular design of a de novo molecule to potently bind with SARS-CoV-2 protease can be worked out via molecular docking and machine learning 94 .",a9880407,"Perazzolo, Simone; Zhu, L....(J Pharm Sci)",2020.11.26
a7632702,"DPL: a comprehensive database on sequences, structures, sources and functions of peptide ligands",DPL database will build the virtual peptide library through the computer program and set up a molecular docking platform and analyze the differences between global and local molecular docking results,a7632702,"Wang, Fangyu; Li, Ning; W....(Database (Oxford))",2020.11.20
a12327070,Recent Clinical and Preclinical Studies of Hydroxychloroquine on RNA Viruses and Chronic Diseases: A Systematic Review,"To better characterize HCQ activity, computational models should be useful for targeting and docking the molecular features responsible for its mechanism of action.",a12327070,"Faraone, Immacolata; Laba....(Molecules)",2020.11.14
a13879396,"Identification of natural inhibitors against prime targets of SARS-CoV-2 using molecular docking, molecular dynamics simulation and MM-PBSA approaches","The results of molecular docking and ADME analysis, molecular dynamics simulation and binding free energy calculations of the present study have been discussed below:",a13879396,"Sharma, Abhilasha; Vora, ....(Journal of biomolecular structure & dynamics)",2020.11.13
a9775147,In-silico drug repurposing for targeting SARS-CoV-2 main protease (M(pro)),"In-silico screening of antiviral, antimalarial drugs, polyphenols and ayurvedic compounds through molecular docking with M pro",a9775147,"Sharma, Shilpa; Deep, Sha....(Journal of biomolecular structure & dynamics)",2020.11.12
a8449144,Recent Advances in Molecular Docking for the Research and Discovery of Potential Marine Drugs,"The physical basis of this approach is consistent with molecular docking, that is, looking for lower energy states.",a8449144,"Chen, Guilin; Seukep, Arm....(Mar Drugs)",2020.10.30
a13618136,Biophysical analysis of SARSâ€CoVâ€2 transmission and theranostic development via N protein computational characterization,"Additionally, the researchers performed molecular docking studies and showed that CVL218 binds favorably to the N-NTD protein of SARS-CoV-2, thus providing a possible mode of antiviral activity agains",a13618136,"Sabbih, Godfred O.; Korsa....(Biotechnol Prog)",2020.10.29
a6357094,Screening Malaria-box compounds to identify potential inhibitors against SARS-CoV-2 M(pro) using molecular docking and dynamics simulations studies,"The molecular docking experiment of MB_250 towards the M pro active pocket was stabilized with the formation of 3 H-bonds by residues His41, Leu141 and His163, respectively (Fig. 2E) .",a6357094,"Ahamad, Shahzaib; Kanipak....(Eur J Pharmacol)",2020.10.24
a12395621,Xanthene based Hybrid Analogues to inhibit protease of Novel Corona Virus: Molecular docking and ADMET studies,"In this work, authors have used molecular docking and ADMET score to study the binding affinity of xanthene-triazole-chloroquinoline/ xanthenechloroquinoline hybrid analogues against main proteases of",a12395621,"Kumar Vishvakarma, Vijay;....(Comput Toxicol)",2020.10.21
a11816117,Current Prevention of COVID-19: Natural Products and Herbal Medicine,"(2020) have screened a series of alkaloids and terpenoids derived from African plants as potential inhibitors of 3CLpro using molecular docking and absorption, distribution, metabolism, excretion, and",a11816117,"Huang, Junqing; Tao, Gabr....(Front Pharmacol)",2020.10.16
a7350664,Activity of phytochemical constituents of Curcuma longa (turmeric) and Andrographis paniculata against coronavirus (COVID-19): an in silico approach,"Using different modules (Glide, QikProp, and Prime) of SchrÃ¶dinger suite LLC various computational methods like molecular docking, ADMET screening, and bindingfree energy, calculations were performed",a7350664,"Rajagopal, Kalirajan; Var....(Futur J Pharm Sci)",2020.10.16
a11539119,Natural Plant Products: A Less Focused Aspect for the COVID-19 Viral Outbreak,"Three phytocompounds, b-Eudesmol, digitoxigenin, and Ccrocin isolated from Lauris nobilis L, Nerium oleander, and Crocus sativus L, respectively, have been proposed as potential inhibitors of the spik",a11539119,"Pandey, Anamika; Khan, Mo....(Front Plant Sci)",2020.10.15
a11873845,"Evaluation of modes of action of pesticides to Daphnia magna based on QSAR, excess toxicity and critical body residues.",Molecular docking using acetylcholinesterase revealed that fungicides and insecticides bind more easily with the biological macromolecule when compared with inert compounds.,a11873845,"Wang, Jia; Yang, Yi; Huan....(Ecotoxicology and environmental safety)",2020.10.15
a13885421,Identification of potential inhibitors of SARS-CoV-2 papain-like protease from tropane alkaloids from Schizanthus porrigens: A molecular docking study,"Considering the enormous amount of existing phytocomposites, we can refer to computational chemistry to help in the study of different plant activities such as Schizanthus porrigens candidates from th",a13885421,"Alfaro, Marco; Alfaro, Ig....(Chem Phys Lett)",2020.10.07
a9224806,Discovery of Potential Flavonoid Inhibitors Against COVID-19 3CL Proteinase Based on Virtual Screening Strategy,We believe that the combination of molecular docking and machine learning will bring more surprises for the discovery of drugs.,a9224806,"Xu, Zhongren; Yang, Lixia....(Front Mol Biosci)",2020.09.29
a9113223,Potential Anti-SARS-CoV-2 Therapeutics That Target the Post-Entry Stages of the Viral Life Cycle: A Comprehensive Review,"Famotidine has been identified via virtual screening and molecular modeling, docking, and scoring as a potential inhibitor of M pro [169] , yet this potential is to be experimentally confirmed.",a9113223,"Al-Horani, Rami A.; Kar, ....(Viruses)",2020.09.26
a6309513,Identifying Effective Antiviral Drugs Against SARS-CoV-2 by Drug Repositioning Through Virus-Drug Association Prediction,LS conducted molecular docking for the predicted results.,a6309513,"Peng, Lihong; Tian, Xiong....(Front Genet)",2020.09.16
a5414879,"Synthesis of 3,3â€²-methylenebis(4-hydroxyquinolin-2(1H)-ones) of prospective anti-COVID-19 drugs","In addition, we investigate the molecular docking of 3,3â€²-methylenebis(4-hydroxyquinolin-2(1H)-ones) as anti-COVID-19 using Darunavir as a prospective drug reference.",a5414879,"Aly, Ashraf A.; Hassan, A....(Mol Divers)",2020.09.14
a9090220,Computational screening of repurposed drugs and natural products against SARS-Cov-2 main protease (Mpro) as potential COVID-19 therapies,"40 Like our study, they employed Autodock Vina to dock a molecular library into the active site of M pro , followed by MD simulation using GROMACS.",a9090220,,2020.09.01
a6625720,Inhibition of Severe Acute Respiratory Syndrome Coronavirus 2 main protease by tafenoquine in vitro,"To elucidate the inhibitory mechanism of TFQ against SARS-CoV-2 M pro , molecular docking was performed using SwissDock (29) .",a6625720,"Chen, Yeh; Yang, Wen-Hao;....(bioRxiv)",2020.08.15
a6625933,Screening S protein â€“ ACE2 blockers from natural products: Strategies and advances in the discovery of potential inhibitors of COVID-19,"In silico Binds to ACE2 and M Pro Molecular docking, Network pharmacology [62] Quercetin (1) Flavonoids Forsythia suspensa (Thunb.)",a6625933,"Ma, Le-le; Liu, Hui-min; ....(Eur J Med Chem)",2021.12.15
a13368226,"Isolation of phytochemicals from Malva neglecta Wallr and their quantum chemical, molecular docking exploration as active drugs against COVID-19","In addition, Autodock version 4.2 was used for molecular docking via MGL tools, by removing H 2 O while adding polar hydrogen atoms (details can be found in supporting information).",a13368226,"Irfan, Ahmad; Imran, Muha....(Journal of Saudi Chemical Society)",2021.10.13
a5550373,Targeting the ENV spike protein of HIV with naturally occurring compounds: an in-silico study for drug designing,"The ultimate aim of this study will be focused on developing a drug molecule from the naturally occurring bioactive compounds using computational tools, primarily consisting of molecular docking and A",a5550373,"Sreeram, S.; Sathishkumar....(ADV TRADIT MED (ADTM))",2021.10.12
a4986173,Inhibition Potencies of Phytochemicals Derived from Sesame Against SARS-CoV-2 Main Protease: A Molecular Docking and Simulation Study,CoV-2 M pro using the molecular docking approach.,a4986173,"Kumar, Anuj; Mishra, Dwij....(Front Chem)",2021.10.08
a10207934,SeamDock: An Interactive and Collaborative Online Docking Resource to Assist Small Compound Molecular Docking,"The SeamDock web server intends to provide a free and accessible molecular docking tool, in particular for teaching.",a10207934,"Murail, Samuel; de Vries,....(Front Mol Biosci)",2021.09.17
a12073159,Molecular Dynamics Simulations Identify Tractable Lead-like Phenyl-Piperazine Scaffolds as eIF4A1 ATP-competitive Inhibitors,Additional docking and molecular dynamics analyses were carried out in the 5ZC9 human eIF4A1 model with RNA to develop binding hypotheses and optimization strategies for the most potent hits.,a12073159,"Essegian, Derek J.; Cunni....(ACS Omega)",2021.09.15
a12397069,Rapid Identification of Potential Drug Candidates from Multi-Million Compoundsâ€™ Repositories. Combination of 2D Similarity Search with 3D Ligand/Structure Based Methods and In Vitro Screening,"In another attempt a consensus approach included combining similarity searching with various queries and fingerprints, molecular docking with two docking protocols, and ADMETox profiling.",a12397069,"SzilÃ¡gyi, Katalin; Flach....(Molecules)",2021.09.15
a11617890,Computational strategies towards developing novel SARS-CoV-2 M(pro) inhibitors against COVID-19,We attempt to select the most suitable one from the following docking protocols to evaluate the binding mode between protein and ligand: (1) Surflex-Dock: Surflex-Dock is a Protomol-based method with,a11617890,"Luo, Ding; Tong, Jian-Bo;....(J Mol Struct)",2021.08.28
a9837947,Investigation of major amino acid residues of anti-norfloxacin monoclonal antibodies responsible for binding with fluoroquinolones,"Molecular docking of the target FQs and the mAbs was done by placing the ligand into the active site of the mAbs using AutoDock Vina, which uses a global optimizer to produce docking results for ligan",a9837947,"Boonserm, Patamalai; Puth....(Sci Rep)",2021.08.25
a6332763,Novel Biomimetic Human TLR2-Derived Peptides for Potential Targeting of Lipoteichoic Acid: An In Silico Assessment,"Molecular docking of LTA to the binding site on human TLR2 revealed the nine best poses of LTA bound to TLR2, with their respective binding affinities ( Figure 1 ).",a6332763,"Devnarain, Nikita; Waddad....(Biomedicines)",2021.08.21
a13890813,Antiviral fungal metabolites and some insights into their contributionto the current COVID-19 pandemic,In silico molecular docking analysis and ADMET predictions,a13890813,"Aparecida Takahashi, Jacq....(Bioorg Med Chem)",2021.08.13
a13894242,"Molecular docking and dynamic simulations of Cefixime, Etoposide and Nebrodenside A against the pathogenic proteins of SARS-CoV-2","Molecular docking, pharmacological and toxicological property predictions (ADMET), efficiency calculations of ligands, and molecular dynamics simulations in conjunction with MM-GBSA binding free energ",a13894242,"Rashid, Haroon; Ahmad, Na....(J Mol Struct)",2021.08.13
a11704697,A novel framework integrating AI model and enzymological experiments promotes identification of SARS-CoV-2 3CL protease inhibitors and activity-based probe,This result suggests that molecular docking cannot capture this critical feature accurately.,a11704697,"Hu, Fan; Wang, Lei; Hu, Y....(Brief Bioinform)",2021.08.09
a5841398,"Supercomputing, Docking and Quantum Mechanics in Quest for Inhibitors of Papain-like Protease of SARS-CoV-2",Low-molecular-weight organic molecules subject to docking are prepared with considering different protomers at pH 7.4 and conformers of macrocycles.,a5841398,"Sulimov, A. V.; Ilin, I. ....(Lobachevskii J Math)",2021.08.09
a4963111,"Synthesis, antimicrobial activity, density functional modelling and molecular docking with COVID-19 main protease studies of benzoxazole derivative: 2-(p-chloro-benzyl)-5-[3-(4-ethly-1-piperazynl) propionamido]-benzoxazole","While traditional methods of drug discovery can take many years with high costs, the possible medications are investigated by using molecular docking studies in a short time and with very low costs.",a4963111,"Zeyrek, Celal TuÄŸrul; Ar....(J Mol Struct)",2021.08.05
a10133589,Quantum simulations of SARS-CoV-2 main protease M(pro) enable high-quality scoring of diverse ligands,"From this computational screen, 100 molecules were identified as having the potential to bind to M pro using a combination of molecular docking and absolute binding free energy calculations.",a10133589,"Wang, Yuhang; Murlidaran,....(J Comput Aided Mol Des)",2021.07.30
a4830214,Advances in the computational landscape for repurposed drugs against COVID-19,"The criterion for repurposing is the high binding affinity of the drugs to viral proteins, which is estimated using molecular docking or machine learning.",a4830214,"Aronskyy, Illya; Masoudi-....(Drug Discov Today)",2021.07.30
a9784133,"COVID-19: Vaccine Delivery System, Drug Repurposing and Application of Molecular Modeling Approach","Tejera et al 106 indicated that levothyroxine, amobarbital and ABP-700 were the best potential inhibitors of the SARS-CoV-2 virus through their binding to the M pro enzyme using molecular docking appr",a9784133,"Abd El Hadi, Soha R; Zien....(Drug Des Devel Ther)",2021.07.30
a5677358,MEMES: Machine learning framework for Enhanced MolEcular Screening,2 it is quite evident that the ExactMEMES method significantly outperforms the random sampling baseline and matches the mean docking score of actual top compounds present in the molecular library.,a5677358,"Mehta, Sarvesh; Laghuvara....(Chemical science)",2021.07.26
a10890526,Rilpivirine inhibits SARS-CoV-2 protein targets: A potential multi-target drug,"In the process of molecular docking, based on predicted active sites, the grid box was set to 60 Following the preparation of the ligand and proteins for docking, Auto Dock Tools 1.5.6 was applied to",a10890526,"Ameen, Fuad; Mamidala, Es....(J Infect Public Health)",2021.07.21
a13888616,Anti-HIV reverse transcriptase plant polyphenolic natural products with in silico inhibitory properties on seven non-structural proteins vital in SARS-CoV-2 pathogenesis,"Molecular dynamics (MD) simulation was performed on the top-binding ligands, chosen based on molecular docking and ADMET analyses, to assess at an atomic level the binding behavior of the various poly",a13888616,"de Leon, Von Novi O.; Man....(J Genet Eng Biotechnol)",2021.07.16
a12395580,"Design, synthesis, characterization, and antioxidant activity studies of novel thienyl-pyrazoles","Furthermore, an in silico molecular docking and ADMET analysis was carried out to validate the results and their mode of action.",a12395580,"Kumara, Karthik; Prabhude....(Heliyon)",2021.07.15
a8658979,Inhibition of SARS-CoV-2 pseudovirus invasion by ACE2 protecting and Spike neutralizing peptides: An alternative approach to COVID19 prevention and therapy,"In addition, non-cell based peptide-protein binding assay also revealed a strong interaction between AYn1 and S-protein (Fig. 2b) , consistent with the results of molecular docking and LSPR.",a8658979,"Chen, Jiang; Li, Song; Le....(Int J Biol Sci)",2021.07.13
a13608416,"Antimicrobial Activity of 1,3,4-Oxadiazole Derivatives","Additionally, antioxidant tests and molecular docking studies were performed.",a13608416,"Glomb, Teresa; ÅšwiÄ…tek,....(Int J Mol Sci)",2021.06.29
a6187515,"3CL(pro) and PL(pro) affinity, a docking study to fight COVID19 based on 900 compounds from PubChem and literature. Are there new drugs to be found?",Upon closer examination of ligand efficacies of the redocked compounds it becomes clear that several of the best scoring compounds are biased towards lower docking scores due to their molecular weight,a6187515,"Å teklÃ¡Ä, Marek; ZajaÄ....(J Mol Struct)",2021.06.28
a13883350,An Updated Review of Computer-Aided Drug Design and Its Application to COVID-19,(2021) explored the potentiality of antiviral phytocompound from Andrographis paniculata as an SARS-CoV-2 main protease (M pro ) inhibitor using molecular docking and ADME prediction [151] .,a13883350,"Gurung, Arun Bahadur; Ali....(Biomed Res Int)",2021.06.24
a6046865,Myricetin Inhibits SARS-CoV-2 Viral Replication by Targeting M(pro) and Ameliorates Pulmonary Inflammation,"We identified that Myricetin has effective inhibition on enzymatic activity, the inhibition rate reached 97.79%, but, other compounds did not show obvious inhibitory activity, including Oleuropein, Vi",a6046865,"Xiao, Ting; Cui, Mengqi; ....(Front Pharmacol)",2021.06.17
a11904965,"Antiviral, Antibacterial, Antifungal, and Antiparasitic Properties of Propolis: A Review","In addition, molecular docking studies by Sahlan et al.",a11904965,"Zulhendri, Felix; Chandra....(Foods)",2021.06.11
a12413402,A Multidisciplinary Approach to Coronavirus Disease (COVID-19),A recent work on the inhibitory action of azo-imidazole derivatives against SARS-CoV-2 M pro presented four new synthesized compounds (7-10) as promising agents by comparing the efficacy of the molecu,a12413402,"Gediz Erturk, Aliye; Sahi....(Molecules)",2021.06.09
a9224858,A Survey of Current Resources to Study lncRNA-Protein Interactions,"Computational strategies for LPI prediction can be divided into two high-level categories, molecular docking and machine learning.",a9224858,"Philip, Melcy; Chen, Tyro....(Noncoding RNA)",2021.06.08
a9237710,Heterologous expression of cyanobacterial PCS confers augmented arsenic and cadmium stress tolerance and higher artemisinin in Artemisia annua hairy roots,The molecular docking studies between ligands (Cadmium chloride; CdCl 2 and sodium arsenate; Na 2 HAsO 4 .7H 2 O) and the AaPCS and anaPCS protein sequences were carried out using Hex 8.0 molecular do,a9237710,"Pandey, Neha; Rai, Krishn....(Plant Biotechnol Rep)",2021.06.07
a9224886,Schistosomiasis Drug Discovery in the Era of Automation and Artificial Intelligence,"To compensate for this, molecular docking and machine learning can be used to virtually screen a large number of fragments and prioritize the most promising for experimental testing (224, (239) (240)",a9224886,"Moreira-Filho, JosÃ© T.; ....(Front Immunol)",2021.05.31
a13369796,Thiazole Ringâ€”A Biologically Active Scaffold,"In addition, molecular docking studies were in agreement with the biological data.",a13369796,"Petrou, Anthi; Fesatidou,....(Molecules)",2021.05.25
a12620423,"Synthesis and Characterization of Some New Quinoxalin-2(1H)one and 2-Methyl-3H-quinazolin-4-one Derivatives Targeting the Onset and Progression of CRC with SRA, Molecular Docking, and ADMET Analyses","The bioactive compounds: (6d; anti-COX-2), (4c; anti-B. fragilis) and (6a; anti-E. coli) were subjected to in silico molecular docking analyses in the active sites of COX-2, metallo-Î²-lactamase, and",a12620423,"El-Sayed, Nahed N. E.; Al....(Molecules)",2021.05.23
a4653397,Natural medicinal plant products as an immune-boosters: A possible role to lessen the impact of Covid-19,"Successfully inhibition of Covid-19 by combination molecular docking of the oseltamivir, ritonavir and lopinavir were supremely active against SARSCoV-2 protease protein Nisha Muralidharan et al., 202",a4653397,,2021.05.05
a9771587,"Synthesis, molecular docking, and in silico ADMET studies of 4-benzyl-1-(2,4,6-trimethyl-benzyl)-piperidine: Potential Inhibitor of SARS-CoV2",Further M1BZP is evaluated for its potential against COVID-19 proteins through molecular docking.,a9771587,"Nandini Asha, R.; Ravindr....(Bioorg Chem)",2021.05.05
a11824826,Molecular Docking and Dynamics Simulation Revealed the Potential Inhibitory Activity of ACEIs Against SARS-CoV-2 Targeting the hACE2 Receptor,"Keywords: COVID-19, molecular docking, molecular dynamics, ACEIs, hACE2",a11824826,"Al-Karmalawy, Ahmed A.; D....(Front Chem)",2021.05.04
a11583889,Proposal of novel natural inhibitors of severe acute respiratory syndrome coronavirus 2 main protease: Molecular docking and ab initio fragment molecular orbital calculations,"In the development of these drugs, it is essential to identify and evaluate novel drug lead compounds for treating In the present study, using molecular docking and ab initio molecular orbital calcula",a11583889,"Shaji, Divya; Yamamoto, S....(Biophys Chem)",2021.04.29
a13888645,Dieckol and Its Derivatives as Potential Inhibitors of SARS-CoV-2 Spike Protein (UK Strain: VUI 202012/01): A Computational Study,"Further, we utilized the structure of Dieckol as scaffold to generate different derivatives using ChemSketch and subjected them to XP molecular docking and ADMET analysis.",a13888645,"Aatif, Mohammad; Muteeb, ....(Mar Drugs)",2021.04.25
a13885047,Screening of potent phytochemical inhibitors against SARS-CoV-2 protease and its two Asian mutants,"Previously, andrographolide from Andrographis paniculata has been identified in silico as a potential inhibitor of the SARS-COV-2 main protease (M pro ) by molecular docking analysis, toxicity and ADM",a13885047,"Muhammad, Ijaz; Rahman, N....(Comput Biol Med)",2021.04.16
a9224884,Computational Screening of Potential Inhibitors of Desulfobacter postgatei for Pyrite Scale Prevention in Oil and Gas Wells,"Herein, in this work, we use computer-aided drug design (CADD) techniques, such as homology modeling, molecular docking, and machine learning, to select hits via consensus scoring by screening 100,000",a9224884,"Onawole, Abdulmujeeb T.; ....(ACS Omega)",2021.04.13
a13393022,Artificial intelligence to deep learning: machine intelligence approach for drug discovery,"In addition, over the years, limitations in the use of molecular docking have also been addressed.",a13393022,"Gupta, Rohan; Srivastava,....(Mol Divers)",2021.04.12
a6041175,Structure-based identification of SARS-CoV-2 main protease inhibitors from anti-viral specific chemical libraries: an exhaustive computational screening approach,"Herein, in the present study, employing a set of highly exhaustive computational methods comprising multistep molecular docking, long-range 100 ns molecular dynamics simulations studies, MM-GBSA-based",a6041175,"Bhowmick, Shovonlal; Saha....(Mol Divers)",2021.04.12
a4861344,Adhatoda Vasica attenuates inflammatory and hypoxic responses in preclinical mouse models: potential for repurposing in COVID-19-like conditions,"The impact on SARS-COV2 target protein were investigated for the compounds of Adhatoda Vasica as well as known antiviral, antimalarial and JAK inhibitors compounds by Molecular Docking studies using S",a4861344,"Gheware, Atish; Dholakia,....(Respir Res)",2021.04.06
a5069924,Protease targeted COVID-19 drug discovery: What we have learned from the past SARS-CoV inhibitors?,"The molecular docking study of the most active compound of this series, A019 (Figure 13) , showed that carboxylate function inserted at the S1 sub-site and forming interactions with S144, E143, C145 a",a5069924,"Amin, Sk Abdul; Banerjee,....(Eur J Med Chem)",2021.04.05
a11667081,In search of drugs to alleviate suppression of the host's innate immune responses against SARS-CoV-2 using a molecular modeling approach,"MolDock scoring function used in MVD is one of the most accurate molecular docking algorithms compared to several other such algorithms, and provides accuracy of 87% (Thomsen and Christensen 2006) .",a11667081,"Choudhury, Shuvasish; Mou....(In Silico Pharmacol)",2021.04.04
a12395579,In silico approach of secondary metabolites from Brazilian herbal medicines to search for potential drugs against SARSâ€CoVâ€2,"The review was performed by the PubMed database and the selected natural compounds were subjected to in silico analysis such as QSAR, molecular docking and ADMET.",a12395579,"Amparo, Tatiane R.; Seibe....(Phytother Res)",2021.04.01
a13890779,"Deciphering the Interactions of Bioactive Compounds in Selected Traditional Medicinal Plants against Alzheimerâ€™s Diseases via Pharmacophore Modeling, Auto-QSAR, and Molecular Docking Approaches","Placed side by side with the two controls, it could be conclusively said that apigenin, luteolin and ellagic acid demonstrated acceptable outcomes in the druglikeness, molecular docking study, and ADM",a13890779,"Ojo, Oluwafemi Adeleke; O....(Molecules)",2021.04.01
a6655048,Molecular Modeling of Histamine Receptorsâ€”Recent Advances in Drug Discovery,"The additional molecular docking revealed the crucial role of residues Y 3.33 , Y189 ECL2 , F193 ECL2 , L 5.39 , E 5.46 , W 6.48 , Y 6.51 , M 6.55 , Y 7.35 and F 7.39 in the interaction with H 3 R tar",a6655048,"Mehta, Pakhuri; Miszta, P....(Molecules)",2021.03.22
a9121709,Virtual screening of plant-derived compounds against SARS-CoV-2 viral proteins using computational tools,"In the molecular docking for M pro protein of SARS-Cov-2, the semi-synthetic compound N-(3-J o u r n a l P r e -p r o o f acetylglycyrrhetinoyl)-2-amino-propanol performed better than glycyrrhizic aci",a9121709,"ZÃ­golo, MarÃ­a Antonela;....(Sci Total Environ)",2021.03.17
a11701223,The in-vitro effect of famotidine on sars-cov-2 proteases and virus replication,"Despite recent advances in computational techniques, there are several challenges associated with the use of molecular docking to predict protein-ligand interactions accurately.",a11701223,"Loffredo, Madeline; Lucer....(Sci Rep)",2021.03.08
a13569626,"Mutations in the SARS-CoV-2 spike protein modulate the virus affinity to the human ACE2 receptor, an in silico analysis","To validate the results obtained with the Z-Dock/PRODIGY servers, an additional molecular docking analysis was performed for each spike protein-ACE2 complex using the Haddock server that is broadly us",a13569626,"Ortega, Joseph Thomas; Pu....(EXCLI J)",2021.03.08
a10459474,Structure-based molecular modeling in SAR analysis and lead optimization,[54] Research article; Application of Gaussian Boson Samplers for prediction of accurate molecular docking configurations.,a10459474,"Temml, Veronika; Kutil, Z....(Comput Struct Biotechnol J)",2021.03.04
a4578216,Phytochemicals of Rhus spp. as Potential Inhibitors of the SARS-CoV-2 Main Protease: Molecular Docking and Drug-Likeness Study,e results showed that all tested compounds provided good interaction in the main active site of the SARS-CoV-2 protease enzyme 6LU7 with lower molecular docking energy (kcal/mol) compared to two drugs,a4578216,"Sherif, Yousery E.; Gabr,....(Evid Based Complement Alternat Med)",2021.02.27
a9354852,Estimation of drug-likeness properties of GCâ€“MS separated bioactive compounds in rare medicinal Pleione maculata using molecular docking technique and SwissADME in silico tools,"The paper represents the first report on GC-MS analysis, molecular docking, and drug-likeness study on P. maculata.",a9354852,"Sympli, Hakani D.....(Netw Model Anal Health Inform Bioinform)",2021.02.24
a9108667,Cordifolioside: potent inhibitor against M(pro) of SARS-CoV-2 and immunomodulatory through human TGF-Î² and TNF-Î±,"Therefore, the validated docking protocols have proceeded further in molecular docking of the M pro with cordifolioside, berberine, and magnoflorine compounds of T. cordifolia.",a9108667,"Manne, Munikumar; Goudar,....(3 Biotech)",2021.02.22
a10428758,Evaluation of potential anti-RNA-dependent RNA polymerase (RdRP) drugs against the newly emerged model of COVID-19 RdRP using computational methods,"Before performing docking, the identification and characterization of the binding site should be carried out for a more reliable and accurate molecular docking.",a10428758,"Poustforoosh, Alireza; Ha....(Biophys Chem)",2021.02.20
a10887310,"Field-Template, QSAR, Ensemble Molecular Docking, and 3D-RISM Solvation Studies Expose Potential of FDA-Approved Marine Drugs as SARS-CoVID-2 Main Protease Inhibitors",The stability of biomacromolecules in bulk water molecules generated by Flare molecular docking calculations at the active site was studied using a three-dimensional reference interaction site model (,a10887310,"Kalhotra, Poonam; Chittep....(Molecules)",2021.02.10
a6001300,"Biochemical and Computational Studies of the Interaction between a Glucosamine Derivative, NAPA, and the IKKÎ± Kinase","Therefore, we excluded NAPA from the kinase catalytic site (third position in the FTMap output ranking) in docking experiment by running a local molecular docking.",a6001300,"Lopreiato, Mariangela; Di....(Int J Mol Sci)",2021.02.06
a11957753,A proposed insight into the anti-viral potential of metallic nanoparticles against novel coronavirus disease-19 (COVID-19),"HCQ is more efficient than CQ, based on molecular docking analysis (Achutha et al.",a11957753,"Ibrahim Fouad, Ghadha....(Bull Natl Res Cent)",2021.02.05
a11905170,"Repurposing potential of Ayurvedic medicinal plants derived active principles against SARS-CoV-2 associated target proteins revealed by molecular docking, molecular dynamics and MM-PBSA studies","In addition, we validated molecular docking and molecular dynamic findings using a Bayesian machine learning models using ECFP6 fingerprints and interestingly, prediction score (Pm) and applicability",a11905170,"Kumar Verma, Akalesh; Kum....(Biomed Pharmacother)",2021.02.03
